	area	rooms	bathroom	parking spaces	floor	animal	furniture	hoa	target	property_tax	fire_insurance	city_Belo Horizonte	city_Campinas	city_Porto Alegre	city_Rio de Janeiro	city_São Paulo
80	164	4	4	3	1	1	0	1840	6000	550	77	0	0	0	0	1
81	70	3	1	1	1	1	0	700	1020	200	13	0	0	0	0	1
82	100	4	3	1	8	1	0	600	2200	159	33	0	0	1	0	0
83	64	2	2	2	4	1	1	1300	4500	440	58	0	0	0	0	1
84	68	2	1	1	3	1	0	320	1200	27	16	1	0	0	0	0
85	75	2	2	2	14	0	0	620	2500	264	34	1	0	0	0	0
86	600	4	4	4	9	1	0	7400	8500	3368	108	0	0	0	0	1
87	63	2	2	0	15	0	0	590	1550	152	20	0	0	0	0	1
88	145	3	4	3	1	0	0	1200	6000	750	77	0	0	0	0	1
89	85	2	2	2	3	0	0	1500	2800	292	36	0	0	0	0	1
90	254	4	4	4	7	1	0	3366	9000	1800	115	0	0	0	0	1
91	350	4	4	4	0	1	1	1	9000	359	160	0	0	1	0	0
92	300	4	4	3	0	1	0	0	3500	584	53	0	0	0	0	1
93	296	4	3	2	0	1	0	0	13500	423	222	1	0	0	0	0
94	64	2	2	2	8	1	0	450	2800	30	36	0	0	0	0	1
95	133	3	2	0	6	1	0	813	2957	38	38	0	0	0	0	1
96	44	1	1	0	7	1	0	350	550	12	7	0	1	0	0	0
97	240	3	4	2	0	1	0	0	3000	250	46	0	1	0	0	0
98	70	3	2	1	4	1	0	490	2500	8	37	0	0	1	0	0
99	22	1	1	0	26	1	0	302	2050	45	26	0	0	0	0	1
100	50	1	1	1	1	1	0	350	950	50	14	0	0	1	0	0
101	67	3	2	2	4	1	0	600	2200	50	33	0	0	1	0	0
102	31	1	1	0	6	1	1	430	2300	0	30	0	0	0	0	1
103	90	2	1	1	1	1	1	850	3468	191	45	0	0	0	1	0
104	109	3	3	1	1	1	0	2000	3800	300	49	0	0	0	1	0
105	400	4	2	2	0	0	0	0	2500	74	41	1	0	0	0	0
106	300	4	5	4	0	1	1	0	14000	1167	211	0	0	0	0	1
107	284	4	3	3	4	1	0	2340	6000	483	77	0	1	0	0	0
108	70	2	1	1	3	1	1	360	2400	30	36	0	0	1	0	0
109	309	4	5	4	7	1	0	2661	6500	682	84	0	0	0	1	0
110	70	2	1	0	0	1	0	0	2100	134	32	0	0	0	0	1
111	360	3	4	1	10	1	0	2300	10000	584	127	0	0	0	0	1
112	30	1	1	1	10	0	0	886	1500	0	20	0	0	0	0	1
113	80	2	2	2	11	1	0	832	2200	171	28	0	1	0	0	0
114	133	4	4	3	6	0	0	1500	7000	800	94	1	0	0	0	0
115	38	1	1	1	14	0	1	1620	2800	279	36	0	0	0	0	1
116	73	2	2	1	7	1	0	1100	3500	100	45	0	0	0	0	1
117	155	3	4	2	4	1	0	1500	2000	150	26	0	0	0	0	1
118	63	2	2	1	15	1	0	357	3200	50	41	0	0	0	0	1
119	58	2	1	1	1	1	0	0	1400	0	18	0	0	0	0	1
120	48	1	1	0	9	0	1	377	3450	0	44	0	0	0	0	1
121	210	3	4	3	7	1	0	1700	2790	834	36	0	0	0	0	1
122	100	3	2	2	2	1	0	340	1600	183	22	1	0	0	0	0
123	94	3	2	2	1	1	0	1337	3570	140	46	0	0	0	0	1
124	94	3	3	2	3	1	1	1220	5010	395	64	0	0	0	0	1
125	76	3	1	1	4	1	0	1200	2500	267	32	0	0	0	0	1
126	192	3	3	2	13	1	0	2100	7800	634	99	0	0	0	0	1
127	217	3	4	3	1	1	0	2884	6500	0	83	0	0	0	0	1
128	68	2	1	1	5	1	0	610	1400	35	18	0	0	0	0	1
129	110	3	2	2	2	1	0	1145	2400	247	31	0	0	0	0	1
130	95	2	2	1	3	1	0	660	1600	164	22	1	0	0	0	0
131	900	4	6	8	0	1	0	0	15000	4417	226	0	0	0	0	1
132	34	1	1	0	5	0	0	347	1200	45	16	0	0	0	0	1
133	192	3	4	3	5	1	0	2000	8000	0	102	0	0	0	0	1
134	62	2	2	1	9	1	0	350	1800	75	27	0	0	1	0	0
135	180	3	3	4	0	1	0	0	3700	184	56	0	0	0	0	1
136	44	1	1	0	3	1	1	350	916	12	12	0	1	0	0	0
137	100	2	1	1	1	0	0	250	1700	116	23	1	0	0	0	0
138	140	3	3	1	24	0	0	900	1370	100	18	0	0	0	1	0
139	170	3	3	3	8	1	1	1570	2800	648	36	0	0	0	0	1
140	100	3	2	2	0	0	0	0	1600	150	25	0	0	0	0	1
141	75	3	2	2	4	1	0	652	1600	82	21	0	0	0	0	1
142	52	2	1	0	2	1	0	200	1200	43	16	0	0	0	1	0
143	999	5	7	8	0	1	0	0	14000	667	211	0	1	0	0	0
144	270	4	4	4	8	1	0	2200	7000	1500	89	0	0	0	0	1
145	50	2	1	1	1	1	0	160	930	60	13	1	0	0	0	0
146	200	3	3	2	0	1	0	650	2210	184	34	0	1	0	0	0
147	71	2	2	0	16	1	0	430	1920	100	25	0	0	0	0	1
148	500	5	4	6	0	1	0	0	13000	250	196	0	0	0	0	1
149	60	2	1	0	0	1	0	0	1080	94	17	0	0	0	0	1
150	110	2	1	0	8	1	0	1100	1300	84	17	0	0	0	0	1
151	210	3	3	4	0	1	0	0	3294	276	50	0	0	0	0	1
152	220	3	4	3	8	1	0	2021	6000	996	77	0	0	0	0	1
153	200	3	2	5	0	0	0	0	4000	204	66	1	0	0	0	0
154	130	3	4	3	2	1	0	2300	4250	502	54	0	0	0	0	1
155	65	2	2	2	7	1	1	1037	4000	245	51	0	0	0	0	1
156	96	3	2	2	17	1	0	804	3200	250	41	0	0	0	0	1
157	660	4	5	5	12	1	1	4800	20000	1750	254	0	0	0	0	1
158	107	3	2	0	7	1	1	1460	3200	270	42	0	0	0	1	0
159	105	3	2	0	1	1	0	740	2200	9	29	0	0	0	1	0
160	100	3	2	0	7	1	0	900	3290	109	43	0	0	0	1	0
161	287	3	4	4	0	1	1	0	9000	430	136	0	0	0	0	1
162	24	1	1	0	1	0	1	230	1180	9	15	0	1	0	0	0
163	22	1	1	0	0	0	0	0	976	0	15	0	0	0	0	1
164	70	1	1	1	0	0	0	0	2529	142	39	0	0	0	0	1
165	44	1	1	1	2	1	1	250	1500	17	22	0	0	1	0	0
166	150	3	2	2	0	0	0	0	2500	0	38	0	0	0	0	1
167	90	1	2	2	9	1	1	998	2900	220	37	0	0	0	0	1
168	200	4	4	2	8	1	1	3000	2800	830	36	0	0	0	0	1
169	320	8	4	0	0	1	0	450	10500	350	158	0	0	0	0	1
170	90	2	1	1	2	0	0	550	1700	110	25	0	0	1	0	0
171	240	4	4	3	9	1	0	2500	2144	834	28	0	0	0	0	1
172	154	4	3	3	21	1	0	1684	7000	1020	89	0	0	0	0	1
173	60	2	2	2	2	1	0	2340	3230	284	41	0	0	0	0	1
174	101	3	2	0	5	1	0	780	2380	91	31	0	1	0	0	0
175	140	3	4	2	0	0	0	0	3090	0	55	0	0	1	0	0
176	500	4	5	8	0	1	0	0	15000	1850	226	0	0	0	0	1
177	110	3	3	3	4	1	0	1195	2350	687	30	0	0	0	0	1
178	110	3	3	2	0	1	0	0	4800	50	73	0	0	0	0	1
179	90	2	2	2	3	1	0	200	2000	84	27	1	0	0	0	0
180	384	4	6	4	3	0	1	3500	15000	344	191	0	0	0	0	1
181	57	2	1	1	7	1	0	570	1500	67	20	0	0	0	0	1
182	160	3	3	2	5	1	1	1650	1500	419	20	0	0	0	0	1
183	39	1	1	0	8	1	0	330	1250	19	16	0	0	0	0	1
184	78	1	2	1	4	1	0	0	2290	143	30	0	1	0	0	0
185	36	1	1	1	0	1	0	0	762	15	14	0	0	1	0	0
186	70	2	1	1	1	1	0	558	1200	0	16	0	1	0	0	0
187	45	1	1	1	4	0	1	300	3200	0	43	1	0	0	0	0
188	200	3	4	3	1	1	0	3500	8500	1250	108	0	0	0	0	1
189	100	3	3	3	0	1	0	0	4300	120	65	0	0	0	0	1
190	42	1	1	1	14	0	0	0	5000	0	64	0	0	0	0	1
191	280	4	4	1	1	1	1	3000	8000	292	102	0	0	0	0	1
192	28	1	1	1	13	0	1	615	2800	42	36	0	0	0	0	1
193	30	1	1	0	0	0	1	296	1826	30	24	0	0	0	0	1
194	85	3	2	1	1	1	0	337	1500	88	20	1	0	0	0	0
195	83	1	1	1	4	0	0	500	1080	59	14	0	1	0	0	0
196	85	3	2	2	16	1	1	550	3300	150	42	0	1	0	0	0
197	90	3	2	2	3	1	0	325	1600	105	22	1	0	0	0	0
198	50	2	1	0	5	1	0	0	900	100	12	1	0	0	0	0
199	50	1	1	0	8	1	0	600	2900	134	38	0	0	0	1	0
200	300	3	2	3	0	0	0	0	6700	539	110	1	0	0	0	0
201	39	1	1	0	7	1	0	350	850	27	13	0	0	1	0	0
202	750	4	4	6	0	1	0	0	15000	2084	226	0	0	0	0	1
203	60	2	1	0	1	1	0	222	1100	46	17	0	0	1	0	0
204	68	2	1	0	4	0	0	750	1250	9	17	0	0	0	1	0
205	70	2	1	1	0	1	0	230	1250	50	16	0	0	0	0	1
206	90	2	2	1	6	1	1	900	6500	89	83	0	0	0	0	1
207	258	5	6	0	0	1	0	0	8700	670	133	0	0	0	1	0
208	200	2	2	6	0	1	0	0	4500	292	68	0	0	0	0	1
209	123	2	2	2	6	1	0	1800	2990	625	38	0	0	0	0	1
210	127	3	2	2	0	1	1	220	2150	67	33	0	0	0	0	1
211	180	4	2	2	0	1	0	0	1800	210	30	1	0	0	0	0
212	110	3	2	0	0	0	0	0	2900	384	44	0	0	0	0	1
213	70	2	2	1	7	1	1	585	1719	77	23	0	0	0	1	0
214	35	1	1	1	8	1	1	720	3000	130	39	0	0	0	0	1
215	219	3	2	2	0	1	0	0	2900	150	44	0	0	0	0	1
216	25	1	1	0	0	1	0	50	700	0	10	0	0	0	1	0
217	170	4	5	0	10	1	0	1200	7100	639	92	0	0	0	1	0
218	45	1	1	0	8	1	0	900	1570	98	21	0	0	0	1	0
219	420	4	4	2	0	0	0	0	7000	200	115	1	0	0	0	0
220	46	1	1	0	4	1	0	0	1040	48	16	0	0	1	0	0
221	145	3	3	2	1	1	1	1088	5800	250	74	0	0	0	0	1
222	59	2	2	1	2	1	0	190	1100	59	15	1	0	0	0	0
223	225	4	3	0	8	1	0	1850	7500	466	100	1	0	0	0	0
224	210	4	4	3	3	1	0	2270	4675	1110	60	0	0	0	0	1
225	76	1	1	0	0	1	0	209	1249	52	19	0	0	1	0	0
226	220	3	4	3	2	0	0	2500	5150	1250	66	0	0	0	0	1
227	109	3	2	2	7	1	0	1746	2500	134	32	0	0	0	0	1
228	95	2	1	1	3	1	0	646	1000	120	14	1	0	0	0	0
229	32	1	1	0	0	0	0	280	1500	50	20	0	0	0	0	1
230	480	4	6	5	9	1	0	6660	15000	3063	191	0	0	0	0	1
231	53	1	1	1	3	1	0	694	4390	200	56	0	0	0	0	1
232	40	1	1	0	0	0	0	0	780	17	12	0	0	0	0	1
233	50	1	1	1	4	1	1	500	3223	100	41	0	0	0	0	1
234	60	1	1	0	0	1	0	0	1300	255	20	0	0	0	0	1
235	64	2	2	2	7	0	0	450	1500	50	22	0	0	1	0	0
236	140	3	3	2	4	1	1	2280	12000	535	155	0	0	0	1	0
237	121	3	3	1	12	1	0	800	2040	334	26	0	0	0	0	1
238	43	1	1	1	4	1	1	498	2100	84	27	0	1	0	0	0
239	20	1	1	1	3	0	1	1700	1360	0	18	0	0	0	0	1
240	58	2	1	1	3	1	0	289	950	11	13	0	1	0	0	0
241	570	5	6	7	0	1	1	0	8330	873	137	1	0	0	0	0
242	88	2	1	1	2	1	0	980	2790	0	36	0	0	0	0	1
243	89	3	2	2	19	1	0	900	6000	184	77	0	0	0	0	1
244	47	1	1	1	1	0	1	400	2200	0	33	0	0	1	0	0
245	40	1	1	0	0	1	0	0	1100	50	17	0	0	0	0	1
246	40	1	1	0	1	1	1	386	1950	91	26	0	0	0	1	0
247	60	1	2	1	3	1	0	400	750	80	10	0	0	0	1	0
248	25	1	1	0	14	1	0	257	1650	0	21	0	0	0	0	1
249	50	2	1	0	13	1	0	340	1130	30	17	0	0	1	0	0
250	90	3	1	0	1	1	0	145	1130	55	17	0	0	1	0	0
251	173	3	3	3	2	1	0	3000	2000	825	26	0	0	0	0	1
252	91	3	2	2	12	1	0	700	2250	175	29	0	1	0	0	0
253	90	3	2	2	6	0	0	1710	1200	109	16	0	0	0	0	1
254	530	5	6	4	2	1	1	8300	15000	5000	191	0	0	0	0	1
255	155	1	4	0	4	0	0	1117000	2790	64	38	1	0	0	0	0
256	40	1	1	0	0	0	0	0	1300	0	17	0	0	0	0	1
257	296	4	5	3	3	1	0	0	15000	0	191	0	0	0	0	1
258	87	3	2	1	17	1	0	850	1400	200	18	0	0	0	0	1
259	300	3	3	5	0	1	0	0	5000	584	76	0	0	0	0	1
260	136	3	3	3	13	1	0	1430	4206	364	54	0	0	0	0	1
261	52	2	1	0	4	1	0	0	1340	0	17	0	0	0	0	1
262	94	2	2	2	8	1	0	600	2900	230	43	0	0	1	0	0
263	300	4	5	3	7	1	0	3850	12750	750	165	0	0	0	1	0
264	100	3	3	1	3	1	0	850	3229	100	42	0	0	0	1	0
265	500	4	6	3	0	1	0	6466	7300	2536	110	0	0	0	0	1
266	240	3	4	3	3	1	1	3600	4950	1000	63	0	0	0	0	1
267	308	2	3	3	0	1	0	0	2000	171	33	1	0	0	0	0
268	350	4	5	4	15	1	1	2700	4590	1334	59	0	0	0	0	1
269	75	2	2	0	2	1	0	570	1450	0	19	0	0	0	0	1
270	155	3	2	3	4	1	1	2600	11700	667	149	0	0	0	0	1
271	260	3	5	4	12	1	0	2227	6000	1468	77	0	0	0	0	1
272	80	2	2	1	0	0	0	0	1500	184	23	0	0	0	0	1
273	85	3	1	1	6	1	0	810	1998	87	26	0	0	0	1	0
274	120	2	2	2	22	0	1	1400	3500	375	45	0	0	0	0	1
275	100	2	2	1	0	1	0	0	1970	0	30	0	0	0	0	1
276	240	4	5	4	6	0	0	1869	3500	717	45	0	0	0	0	1
277	360	7	6	6	0	1	0	0	5270	245	80	0	0	0	0	1
278	42	1	1	0	0	0	0	0	1100	0	17	0	0	0	0	1
279	33	1	1	1	14	1	1	600	2800	112	36	0	0	0	0	1
280	48	1	1	0	1	0	0	626	1020	53	14	0	0	0	1	0
281	36	1	1	0	5	1	0	350	1130	42	15	0	0	0	1	0
282	270	6	3	6	0	1	0	0	4500	417	68	0	0	0	0	1
283	75	2	1	1	2	1	0	670	1200	121	16	0	1	0	0	0
284	46	2	1	0	3	0	0	270	1600	0	21	0	0	0	1	0
285	350	3	3	3	0	0	0	0	10000	1292	151	0	0	0	0	1
286	131	3	3	1	10	1	1	1625	1750	121	26	0	0	1	0	0
287	90	3	2	1	3	1	0	920	1300	129	17	0	1	0	0	0
288	26	1	1	0	4	0	0	390	1650	120	22	0	0	0	1	0
289	44	1	1	0	3	1	1	400	1100	14	15	0	0	0	1	0
290	70	2	2	0	0	1	0	0	1880	0	29	0	0	0	0	1
291	40	1	1	0	0	0	0	0	900	0	15	1	0	0	0	0
292	320	4	2	4	0	1	0	0	3200	206	53	1	0	0	0	0
293	213	2	2	3	0	1	0	0	5150	0	78	0	0	0	0	1
294	80	2	1	0	1	0	0	0	1100	0	14	0	0	0	0	1
295	70	1	1	0	6	1	0	500	800	30	11	0	1	0	0	0
296	60	2	1	1	5	1	0	690	1500	25	20	0	0	0	1	0
297	270	4	4	4	5	1	0	4500	12850	1834	163	0	0	0	0	1
298	70	2	1	1	3	1	0	800	1300	44	17	0	0	0	1	0
299	300	6	2	2	0	1	0	0	6000	242	107	0	0	1	0	0
300	220	4	5	3	14	1	1	2050	12000	750	153	0	0	0	0	1
301	64	2	2	2	7	1	0	450	1600	34	24	0	0	1	0	0
302	80	3	3	1	7	0	0	1100	1470	0	19	0	0	0	1	0
303	56	1	1	0	9	1	1	625	2500	81	32	0	0	0	0	1
304	161	4	3	2	1	1	0	1450	10000	467	127	0	0	0	0	1
305	35	1	1	0	0	1	0	350	1350	0	18	0	0	0	0	1
306	720	4	6	5	0	1	1	0	12750	2613	192	0	0	0	0	1
307	280	4	5	4	6	0	0	2500	3200	750	41	0	0	0	0	1
308	96	3	2	0	2	1	0	408	2100	84	31	0	0	1	0	0
309	236	3	4	4	10	1	0	1600	11000	440	140	0	1	0	0	0
310	81	3	2	1	4	1	0	204	1510	0	20	0	0	0	0	1
311	62	2	1	1	1	1	0	580	1650	92	21	0	0	0	0	1
312	125	3	2	0	2	1	0	150	1200	69	16	1	0	0	0	0
313	37	1	1	1	6	1	1	890	4150	110	53	0	0	0	0	1
314	60	2	2	1	11	1	0	1680	4000	200	51	0	0	0	0	1
315	230	4	2	3	1	1	0	3600	5000	1551	64	0	0	0	0	1
316	210	4	5	2	1	1	1	3800	8500	0	108	0	0	0	0	1
317	450	4	3	8	0	1	0	0	14000	175	211	0	0	0	0	1
318	234	3	5	4	0	1	1	0	3680	400	56	0	0	0	0	1
319	135	4	3	2	2	0	0	868	2450	308	33	1	0	0	0	0
320	395	4	5	3	0	1	0	0	6000	122	91	0	0	0	0	1
321	92	2	2	1	2	1	0	450	1700	67	25	0	0	1	0	0
322	412	3	5	6	21	1	0	2000	3952	459	51	0	0	0	0	1
323	42	1	1	1	27	1	0	560	5300	100	68	0	0	0	0	1
324	33	1	1	0	12	0	1	385	3000	125	39	0	0	0	0	1
325	28	2	1	1	0	1	0	0	600	0	11	0	0	1	0	0
326	190	4	4	2	0	0	0	0	4450	223	67	0	0	0	0	1
327	165	4	3	3	10	1	1	2440	6300	1292	80	0	0	0	0	1
328	44	1	1	0	5	1	0	355	1200	20	18	0	0	1	0	0
329	60	2	1	1	4	1	0	603	1275	109	17	0	0	0	0	1
330	380	3	3	2	1	1	0	3580	11000	1084	140	0	0	0	0	1
331	73	2	1	0	4	1	0	375	830	120	11	0	0	0	1	0
332	19	1	1	0	5	1	0	620	1100	85	15	1	0	0	0	0
333	230	3	5	4	6	1	0	1800	7500	0	96	0	1	0	0	0
334	37	1	1	1	2	1	0	500	2500	0	37	0	0	1	0	0
335	124	3	2	3	7	1	0	1450	6600	300	84	0	0	0	0	1
336	115	3	2	1	8	1	1	1090	2680	114	35	0	0	0	1	0
337	600	3	3	4	0	1	0	0	5500	384	83	0	1	0	0	0
338	700	5	5	4	0	1	1	1380	15000	1667	229	0	0	0	1	0
339	35	1	1	0	1	1	0	100	815	17	12	0	0	1	0	0
340	15	1	1	0	3	0	1	0	1100	0	15	1	0	0	0	0
341	80	3	2	1	2	1	0	570	1450	125	19	0	1	0	0	0
342	48	1	1	0	4	1	0	200	700	38	11	0	0	1	0	0
343	96	3	2	1	2	1	0	922	1500	137	20	1	0	0	0	0
344	150	3	2	1	7	1	1	1843	6715	340	86	0	0	0	0	1
345	105	3	2	2	2	0	0	1681	3300	390	44	1	0	0	0	0
346	204	4	4	4	22	0	1	2701	10000	760	134	1	0	0	0	0
347	125	3	1	2	11	1	0	1317	2600	170	33	0	0	0	1	0
348	50	2	1	0	3	0	0	490	2300	50	30	0	0	0	1	0
349	250	3	4	3	0	0	0	0	3740	234	57	0	0	0	0	1
350	300	3	4	3	7	1	1	3000	2000	1250	26	0	0	0	0	1
351	80	2	1	1	0	1	0	0	1500	55	23	0	0	0	0	1
352	130	3	4	1	2	0	0	1200	1400	334	19	0	0	0	1	0
353	120	2	3	0	2	1	0	904	3300	195	42	0	0	0	0	1
354	540	3	3	4	9	1	0	6200	15000	3500	191	0	0	0	0	1
355	23	1	1	0	23	1	0	392	2100	41	27	0	0	0	0	1
356	15	1	1	0	0	0	1	0	2500	0	32	0	0	0	0	1
357	72	1	2	2	19	1	0	900	4000	200	51	0	0	0	0	1
358	95	3	2	2	7	1	0	985	2300	122	30	0	0	0	1	0
359	330	4	5	4	13	1	0	2870	10000	1119	127	0	0	0	0	1
360	75	2	2	2	7	0	1	1600	6600	400	84	0	0	0	0	1
361	53	1	1	1	4	1	0	690	4398	200	56	0	0	0	0	1
362	178	3	2	1	2	0	0	1200	1900	180	25	0	0	0	0	1
363	150	3	2	0	0	1	0	0	4000	24	61	0	0	0	0	1
364	50	2	1	1	4	1	0	520	1200	30	16	0	0	0	0	1
365	150	3	2	1	0	0	0	0	2500	59	38	0	0	0	0	1
366	25	1	1	0	0	1	1	286	984	11	15	0	0	1	0	0
367	210	3	4	4	13	0	0	3150	12000	1155	153	0	0	0	0	1
368	75	3	2	1	4	1	0	600	1500	75	20	1	0	0	0	0
369	200	2	4	3	12	1	0	1897	15000	827	200	1	0	0	0	0
370	350	4	4	0	0	1	0	0	8000	989	121	0	0	0	0	1
371	49	2	1	1	7	1	0	360	1150	30	17	0	0	1	0	0
372	40	1	1	0	4	0	1	0	2000	0	30	0	0	1	0	0
373	45	1	1	1	2	0	1	1900	4200	350	54	0	0	0	0	1
374	46	1	1	1	8	0	1	900	7600	118	97	0	0	0	0	1
375	80	2	2	2	15	1	0	2000	11000	0	140	0	0	0	0	1
376	30	1	1	0	3	1	1	400	2850	0	37	0	0	0	0	1
377	80	2	2	2	0	1	0	50	2200	173	34	0	0	0	0	1
378	105	2	2	1	10	1	0	1780	1530	134	20	0	0	0	1	0
379	105	3	2	2	7	1	0	1170	2000	219	27	1	0	0	0	0
380	114	3	1	0	0	1	0	0	2570	150	39	0	0	0	0	1
381	200	3	3	4	0	1	0	0	7000	425	106	0	0	0	0	1
382	120	3	3	2	5	1	0	800	3000	167	44	0	0	1	0	0
383	60	2	2	1	11	1	0	647	4000	21	51	0	0	0	0	1
384	90	2	1	1	1	1	0	1000	3000	50	39	0	0	0	0	1
385	53	2	1	0	3	0	0	535	1800	50	24	0	0	0	1	0
386	80	2	2	5	0	1	0	0	3000	59	46	0	0	0	0	1
387	87	4	2	2	4	1	0	784	1600	106	21	0	1	0	0	0
388	110	3	1	1	1	1	0	557	5000	188	65	0	0	0	1	0
389	113	4	2	1	3	1	0	1587	4000	429	54	1	0	0	0	0
